date,water_level,error
2002-01-16,156.819,0.001
2002-01-26,156.891,0.001
2002-02-04,156.805,0.001
2002-02-14,156.808,0.000
2002-02-24,156.788,0.001
2002-03-06,156.844,0.001
2002-03-16,156.842,0.000
2002-04-05,156.730,0.000
2002-04-15,156.781,0.000
2002-04-25,156.720,0.000
2002-05-05,156.659,0.001
2002-05-15,156.851,0.000
2002-06-03,156.806,0.000
2002-06-13,156.845,0.000
2002-06-23,157.009,0.001
2002-07-13,156.889,0.000
2002-08-02,156.930,0.001
2002-08-12,156.921,0.000
2002-08-22,156.902,0.000
2002-09-01,156.829,0.000
2002-09-11,156.968,0.000
2002-09-21,156.871,0.001
2002-09-30,156.870,0.000
2002-10-10,156.828,0.000
2002-10-20,156.687,0.001
2002-10-30,156.780,0.001
2002-11-09,156.853,0.001
2002-12-29,156.776,0.001
2003-01-08,156.780,0.001
2003-01-17,156.798,0.001
2003-01-27,156.778,0.000
2003-02-06,156.798,0.000
2003-02-16,156.822,0.001
2003-02-26,156.837,0.000
2003-03-08,156.865,0.000
2003-03-18,156.760,0.000
2003-03-28,156.771,0.001
2003-04-07,156.778,0.000
2003-04-17,156.859,0.000
2003-04-27,156.907,0.000
2003-05-07,156.801,0.000
2003-05-16,156.905,0.000
2003-06-05,156.957,0.001
2003-06-15,157.092,0.000
2003-06-25,157.141,0.000
2003-07-25,156.968,0.000
2003-08-04,156.869,0.000
2003-08-14,156.933,0.001
2003-08-24,156.914,0.000
2003-09-03,156.972,0.001
2003-09-12,156.975,0.000
2003-09-22,156.877,0.000
2003-10-02,156.900,0.001
2003-10-12,156.947,0.001
2003-10-22,156.863,0.001
2003-11-01,156.853,0.000
2003-11-11,156.784,0.001
2004-01-09,156.872,0.001
2004-01-19,156.862,0.000
2004-01-29,156.788,0.000
2004-02-08,156.862,0.001
2004-02-28,156.794,0.001
2004-03-09,156.840,0.000
2004-03-19,156.743,0.000
2004-03-29,156.648,0.000
2004-04-08,156.854,0.002
2004-04-18,156.811,0.002
2004-04-28,156.811,0.004
2004-05-07,156.749,0.002
2004-05-17,156.783,0.003
2004-05-27,156.954,0.001
2004-06-06,156.981,0.001
2004-06-16,157.020,0.000
2004-06-26,157.095,0.001
2004-07-06,157.198,0.000
2004-07-16,157.096,0.010
2004-08-05,156.906,0.000
2004-08-15,156.911,0.000
2004-08-25,156.947,0.000
2004-09-03,156.951,0.000
2004-09-13,156.938,0.000
2004-09-23,156.892,0.000
2004-10-03,156.807,0.000
2004-10-13,156.845,0.000
2004-10-23,156.950,0.000
2004-11-02,156.807,0.000
2004-11-12,156.760,0.000
2004-12-22,156.852,0.000
2004-12-31,156.897,0.001
2005-01-10,156.829,0.000
2005-01-20,156.958,0.000
2005-01-30,156.847,0.000
2005-02-09,156.874,0.001
2005-02-19,156.906,0.000
2005-03-01,156.958,0.001
2005-03-21,156.784,0.032
2005-03-31,156.657,0.031
2005-04-19,156.747,0.001
2005-04-29,156.731,0.001
2005-05-19,157.075,0.000
2005-05-29,156.909,0.000
2005-06-08,157.084,0.000
2005-06-18,157.077,0.001
2005-06-28,157.181,0.000
2005-07-18,156.994,0.000
2005-08-07,156.926,0.000
2005-08-16,156.893,0.000
2005-08-26,157.023,0.000
2005-09-05,156.915,0.000
2005-09-15,156.939,0.000
2005-10-05,156.733,0.000
2005-10-15,156.862,0.001
2005-10-25,156.788,0.000
2005-11-04,156.811,0.001
2005-11-14,156.881,0.000
2005-11-24,156.775,0.001
2005-12-23,156.583,0.000
2006-01-02,156.816,0.001
2006-01-12,156.639,0.000
2006-01-22,156.858,0.000
2006-02-01,156.877,0.000
2006-02-11,156.898,0.000
2006-02-21,156.856,0.000
2006-03-03,156.906,0.000
2006-03-13,156.839,0.004
2006-03-23,156.694,0.001
2006-04-02,156.725,0.002
2006-04-11,156.770,0.001
2006-04-21,156.771,0.000
2006-05-01,156.904,0.000
2006-05-11,156.881,0.000
2006-05-21,157.120,0.000
2006-05-31,157.160,0.001
2006-06-10,157.232,0.000
2006-06-20,157.011,0.001
2006-06-30,157.010,0.000
2006-07-10,157.025,0.002
2006-07-30,156.977,0.000
2006-08-08,157.054,0.001
2006-08-18,157.108,0.000
2006-08-28,157.021,0.000
2006-09-07,156.986,0.000
2006-09-17,156.918,0.001
2006-09-27,156.979,0.000
2006-10-07,156.994,0.000
2006-10-17,156.970,0.000
2006-10-27,156.956,0.000
2006-11-26,156.807,0.000
2006-12-15,157.068,0.001
2006-12-25,156.965,0.001
2007-01-04,156.841,0.000
2007-02-03,156.068,0.005
2007-02-13,155.853,0.009
2007-04-23,156.751,0.002
2007-05-03,156.920,0.001
2007-05-13,156.923,0.000
2007-06-02,156.981,0.000
2007-06-22,157.105,0.001
2007-07-12,156.943,0.000
2007-07-21,156.975,0.000
2007-07-31,156.941,0.000
2007-08-10,156.876,0.001
2007-08-20,156.931,0.001
2007-08-30,156.910,0.001
2007-09-09,156.869,0.000
2007-09-19,156.883,0.000
2007-09-29,156.858,0.001
2007-10-09,156.780,0.001
2007-10-19,156.936,0.000
2007-10-29,156.836,0.000
2007-11-08,156.798,0.001
2007-11-17,156.721,0.000
2007-12-27,156.892,0.000
2008-01-06,156.898,0.000
2008-01-16,156.799,0.001
2008-01-26,156.763,0.000
2008-02-05,156.803,0.001
2008-02-15,156.839,0.001
2008-02-25,156.846,0.001
2008-03-06,156.694,0.001
2008-03-15,156.807,0.000
2008-03-25,156.797,0.001
2008-04-04,156.816,0.000
2008-04-14,156.835,0.002
2008-04-24,156.719,0.001
2008-05-04,156.842,0.000
2008-05-14,156.864,0.000
2008-05-24,156.858,0.001
2008-06-03,156.936,0.000
2008-06-13,156.960,0.000
2008-06-23,157.046,0.000
2008-07-03,156.889,0.000
2008-07-12,156.746,0.000
2008-07-22,156.803,0.000
2008-08-01,156.894,0.001
2008-08-11,156.725,0.000
2008-08-21,156.722,0.000
2008-08-31,156.865,0.000
2008-09-10,156.852,0.000
2008-09-20,156.721,0.000
2008-09-30,156.711,0.000
2008-10-10,156.746,0.000
2008-10-20,156.714,0.000
2008-10-30,156.661,0.000
2008-11-08,156.654,0.001
2008-12-08,156.527,0.000
2009-02-06,156.851,0.004
2009-02-16,156.739,0.000
2009-02-26,156.772,0.000
2009-03-07,156.765,0.008
2009-03-17,156.767,0.041
2009-03-27,156.852,0.036
2009-05-06,156.864,0.006
2009-05-16,156.866,0.004
2009-06-05,156.877,0.001
2009-06-15,156.846,0.000
2009-06-25,156.949,0.000
2009-07-04,157.074,0.000
2009-07-14,157.019,0.000
2009-07-24,156.864,0.000
2009-08-13,156.855,0.000
2009-08-23,156.886,0.000
2009-09-02,156.833,0.001
2009-09-12,156.892,0.000
2009-09-22,156.852,0.000
2009-10-02,156.827,0.000
2009-10-12,156.822,0.000
2009-10-21,156.640,0.000
2009-10-31,156.684,0.000
2009-11-10,156.754,0.001
2009-11-20,156.710,0.000
2009-12-10,156.643,0.001
2009-12-30,156.773,0.000
2010-01-09,156.804,0.000
2010-01-19,156.812,0.001
2010-01-29,156.819,0.000
2010-02-08,156.784,0.000
2010-02-17,156.735,0.000
2010-02-27,156.733,0.001
2010-03-09,156.702,0.000
2010-03-19,156.733,0.000
2010-03-29,156.725,0.000
2010-04-08,156.741,0.001
2010-04-18,156.629,0.001
2010-05-08,156.815,0.000
2010-05-18,156.793,0.000
2010-06-07,156.911,0.001
2010-06-16,156.948,0.000
2010-06-26,156.936,0.006
2010-07-06,156.874,0.000
2010-07-16,156.720,0.000
2010-07-26,156.757,0.000
2010-08-05,156.686,0.000
2010-08-15,156.780,0.002
2010-08-25,156.745,0.000
2010-09-04,156.755,0.000
2010-09-14,156.761,0.000
2010-09-24,156.776,0.000
2010-10-04,156.716,0.001
2010-10-13,156.727,0.000
2010-10-23,156.639,0.000
2010-11-02,156.572,0.000
2010-11-12,156.613,0.000
2010-11-22,156.535,0.000
2010-12-12,156.279,0.000
2010-12-22,156.112,0.001
2011-02-09,156.625,0.002
2011-02-19,156.672,0.001
2011-03-01,156.638,0.003
2011-03-11,156.640,0.001
2011-03-21,156.598,0.002
2011-03-31,156.680,0.002
2011-04-10,156.593,0.001
2011-04-20,156.679,0.000
2011-04-30,156.549,0.001
2011-05-10,156.717,0.001
2011-05-20,156.668,0.000
2011-05-30,156.838,0.000
2011-06-08,156.869,0.000
2011-06-18,156.968,0.000
2011-06-28,156.970,0.000
2011-07-08,156.967,0.001
2011-07-18,156.769,0.000
2011-07-28,156.781,0.001
2011-08-07,156.824,0.000
2011-08-17,156.787,0.001
2011-08-27,156.822,0.000
2011-09-06,156.829,0.000
2011-09-16,156.890,0.000
2011-09-25,156.802,0.000
2011-10-05,156.778,0.001
2011-10-15,156.763,0.001
2011-10-25,156.760,0.000
2011-11-04,156.808,0.000
2011-11-14,156.756,0.000
2011-11-24,156.944,0.000
2011-12-24,156.741,0.001
2012-01-03,156.844,0.000
2012-01-13,156.677,0.000
2012-01-22,156.733,0.001
2012-02-01,156.781,0.001
2012-02-11,156.806,0.001
2012-02-21,156.772,0.000
2012-03-02,156.779,0.001
2012-03-12,156.784,0.001
2012-03-22,156.740,0.000
2012-04-01,156.728,0.000
2012-04-11,156.686,0.000
2012-04-21,156.754,0.001
2012-05-01,156.687,0.000
2012-05-11,156.948,0.000
2012-05-20,156.933,0.000
2012-05-30,156.973,0.000
2012-06-09,157.180,0.000
2012-06-19,157.158,0.001
2012-06-29,156.943,0.000
2012-07-09,156.956,0.000
2012-07-19,156.961,0.000
2012-07-29,156.948,0.001
2012-08-08,157.027,0.000
2012-08-18,156.987,0.000
2012-08-28,156.974,0.001
2012-09-07,156.984,0.000
2012-09-16,156.856,0.000
2012-09-26,156.997,0.000
2012-10-06,156.955,0.000
2012-10-16,156.927,0.001
2012-10-26,156.807,0.000
2012-11-05,156.928,0.000
2012-11-15,156.823,0.000
2012-12-05,156.979,0.000
2012-12-15,156.905,0.000
2012-12-25,156.985,0.000
2013-01-04,156.950,0.000
2013-01-13,156.922,0.001
2013-01-23,156.989,0.000
2013-02-02,156.928,0.000
2013-02-12,156.967,0.000
2013-02-22,157.009,0.000
2013-03-04,156.831,0.000
2013-03-14,156.877,0.000
2013-03-24,156.872,0.001
2013-04-13,156.878,0.001
2013-04-23,156.859,0.004
2013-05-03,156.828,0.000
2013-05-12,157.049,0.001
2013-05-22,157.042,0.000
2013-06-01,157.030,0.001
2013-06-11,157.087,0.000
2013-06-21,157.171,0.000
2013-07-11,156.944,0.000
2013-07-21,156.948,0.000
2013-07-31,156.943,0.000
2013-08-10,156.943,0.000
2013-08-20,156.888,0.000
2013-08-30,156.912,0.000
2013-09-18,156.776,0.000
2013-10-08,156.860,0.000
2013-10-18,156.752,0.000
2013-10-28,156.725,0.001
2013-11-07,156.696,0.001
2013-11-17,156.803,0.000
2013-12-17,156.287,0.001
2014-02-24,156.816,0.001
2014-03-06,156.788,0.001
2014-03-16,156.855,0.000
2014-03-26,156.808,0.001
2014-04-05,156.765,0.000
2014-04-15,156.717,0.001
2014-04-24,156.818,0.001
2014-05-04,156.697,0.001
2014-05-14,156.909,0.000
2014-05-24,156.786,0.000
2014-06-03,156.784,0.001
2014-06-13,156.913,0.001
2014-07-03,156.939,0.000
2014-07-13,156.727,0.000
2014-07-23,156.646,0.000
2014-08-02,156.712,0.000
2014-08-12,156.725,0.000
2014-08-21,156.788,0.000
2014-08-31,156.540,0.000
2014-09-20,156.691,0.000
2014-09-30,156.635,0.000
2014-10-10,156.586,0.000
2014-10-20,156.549,0.000
2014-10-30,156.580,0.001
2014-11-09,156.758,0.000
2014-11-29,156.654,0.000
2014-12-28,156.667,0.003
2015-01-07,156.649,0.001
2015-01-17,156.632,0.000
2015-02-16,156.599,0.004
2015-02-26,156.632,0.004
2015-03-08,156.497,0.000
2015-03-18,156.619,0.027
2015-03-28,156.494,0.002
2015-04-07,156.424,0.073
2015-04-16,156.352,0.002
2015-04-26,156.622,0.003
2015-05-06,156.558,0.013
2015-05-16,156.768,0.000
2015-05-26,156.811,0.001
2015-06-05,156.866,0.000
2015-06-15,157.024,0.000
2015-06-25,157.011,0.009
2015-07-15,156.986,0.000
2015-08-04,156.796,0.001
2015-08-13,156.779,0.000
2015-08-23,156.777,0.000
2015-09-02,156.758,0.000
2015-09-12,156.745,0.000
2015-09-22,156.859,0.000
2015-10-02,156.747,0.000
2015-10-12,156.749,0.001
2015-10-22,156.801,0.000
2015-11-01,156.805,0.000
2015-11-11,156.808,0.000
2015-11-21,156.684,0.001
2015-12-10,156.796,0.000
2015-12-20,156.836,0.000
2015-12-30,156.810,0.000
2016-01-09,156.741,0.000
2016-01-19,156.756,0.000
2016-01-29,156.814,0.000
2016-02-08,156.736,0.001
2016-02-18,156.795,0.001
2016-02-28,156.778,0.000
2016-03-09,156.801,0.000
2016-03-19,156.649,0.000
2016-03-28,156.758,0.000
2016-04-07,156.693,0.001
2016-04-17,156.732,0.000
2016-05-07,156.971,0.000
2016-05-17,156.934,0.000
2016-05-27,157.056,0.002
2016-06-06,157.024,0.000
2016-06-26,156.953,0.000
2016-07-06,156.978,0.000
2016-07-16,157.018,0.001
2016-07-25,157.027,0.001
2016-08-04,157.021,0.000
2016-08-14,157.019,0.000
2016-08-24,156.919,0.000
2016-09-03,157.002,0.000
2016-09-13,156.897,0.000
2016-09-23,156.916,0.001
2016-10-03,156.978,0.000
2016-10-13,156.965,0.000
2016-10-23,156.934,0.000
2016-12-01,156.961,0.001
2016-12-21,156.435,0.001
2017-01-10,155.719,0.001
2017-01-20,155.401,0.001
2017-01-30,155.338,0.000
2017-02-09,155.276,0.003
2017-02-19,155.091,0.000
2017-03-20,155.164,0.012
2017-05-29,157.037,0.000
2017-06-08,157.048,0.000
2017-06-18,157.263,0.000
2017-06-28,157.161,0.000
2017-07-08,156.987,0.000
2017-07-17,156.978,0.000
2017-07-27,156.911,0.000
2017-08-06,156.982,0.000
2017-08-16,156.904,0.000
2017-08-26,156.940,0.000
2017-09-05,156.941,0.000
2017-09-15,156.950,0.000
2017-09-25,156.967,0.000
2017-10-05,156.917,0.000
2017-10-15,156.868,0.000
2017-10-25,156.894,0.000
2017-11-04,156.809,0.001
2017-11-13,156.903,0.000
2017-12-03,156.835,0.001
2017-12-13,156.797,0.000
2018-01-02,156.753,0.000
2018-01-12,156.803,0.000
2018-01-22,156.852,0.000
2018-02-01,156.903,0.001
2018-02-11,156.883,0.000
2018-02-21,156.849,0.000
2018-03-03,156.784,0.001
2018-03-12,156.836,0.000
2018-03-22,156.807,0.001
2018-04-01,156.601,0.001
2018-04-11,156.735,0.001
2018-04-21,156.699,0.002
2018-05-01,156.696,0.000
2018-05-11,156.758,0.001
2018-05-21,156.901,0.000
2018-05-31,156.962,0.000
2018-06-10,157.027,0.000
2018-06-20,157.126,0.000
2018-06-29,157.203,0.009
2018-07-19,156.925,0.000
2018-07-29,157.020,0.000
2018-08-08,156.945,0.000
2018-08-18,156.975,0.000
2018-08-28,157.095,0.001
2018-09-07,157.030,0.000
2018-09-27,156.991,0.000
2018-10-07,157.026,0.000
2018-10-17,156.843,0.000
2018-10-26,156.999,0.000
2018-11-05,156.875,0.000
2018-11-25,157.007,0.001
2018-12-05,157.083,0.000
2018-12-15,156.840,0.000
2019-01-04,157.037,0.000
2019-01-14,156.996,0.000
2019-01-24,157.061,0.003
2019-02-03,156.963,0.000
2019-02-13,156.941,0.000
2019-02-22,156.841,0.000
2019-03-14,156.863,0.001
2019-03-24,156.858,0.001
2019-04-03,156.924,0.000
2019-04-13,156.905,0.000
2019-04-23,156.797,0.000
2019-05-03,156.755,0.000
2019-05-13,156.959,0.000
2019-05-23,157.016,0.001
2019-06-02,157.094,0.000
2019-06-12,157.093,0.000
2019-07-01,157.235,0.000
2019-07-11,157.029,0.000
2019-07-21,157.083,0.000
2019-07-31,157.054,0.000
2019-08-10,157.034,0.000
2019-08-20,157.049,0.000
2019-08-30,157.095,0.000
2019-09-09,157.121,0.000
2019-09-19,157.014,0.000
2019-09-29,157.054,0.000
2019-10-09,156.931,0.000
2019-10-18,156.840,0.000
2019-10-28,156.837,0.000
2019-11-07,156.880,0.001
2019-11-17,156.810,0.000
2020-02-14,156.838,0.000
2020-02-24,156.813,0.000
2020-03-05,156.861,0.000
2020-03-15,156.939,0.000
2020-03-25,156.882,0.001
2020-04-04,156.854,0.002
2020-04-14,156.878,0.001
2020-04-24,156.859,0.001
2020-05-04,156.767,0.000
2020-05-14,156.842,0.002
2020-05-24,157.070,0.001
2020-06-03,156.917,0.000
2020-06-12,157.030,0.000
2020-06-22,157.175,0.000
2020-07-02,157.222,0.000
2020-07-12,157.240,0.000
2020-08-01,157.041,0.000
2020-08-11,157.150,0.000
2020-08-21,157.137,0.000
2020-08-31,157.123,0.000
2020-09-10,156.992,0.001
2020-09-20,157.102,0.000
2020-09-29,157.032,0.000
2020-10-09,156.926,0.000
2020-10-19,157.005,0.000
2020-10-29,156.928,0.001
2020-11-08,156.837,0.000
2020-11-18,157.033,0.000
2020-12-08,156.929,0.000
2020-12-18,156.964,0.000
2020-12-28,157.007,0.000
2021-01-07,157.018,0.000
2021-01-17,156.864,0.000
2021-01-26,156.919,0.000
2021-02-05,156.745,0.000
2021-02-15,156.837,0.000
2021-02-25,156.855,0.000
2021-03-07,156.927,0.000
2021-03-17,156.947,0.000
2021-03-27,156.903,0.000
2021-04-06,156.790,0.000
2021-04-16,156.884,0.000
2021-04-26,156.872,0.000
2021-05-06,156.891,0.000
2021-05-16,156.999,0.000
2021-05-25,157.038,0.000
2021-06-04,157.014,0.000
2021-06-14,157.082,0.009
2021-07-04,157.112,0.000
2021-07-24,156.935,0.000
2021-08-03,156.862,0.000
2021-08-13,156.866,0.000
2021-08-23,156.908,0.000
2021-09-02,156.939,0.000
2021-09-12,156.895,0.000
2021-09-21,156.871,0.000
2021-10-01,156.780,0.000
2021-10-11,156.886,0.001
2021-10-21,156.808,0.000
2021-10-31,156.808,0.000
2021-11-10,156.768,0.000
2021-11-20,156.703,0.000
2021-12-10,156.806,0.000
2021-12-20,157.024,0.000
2021-12-30,157.016,0.000
2022-01-09,156.820,0.000
2022-01-18,156.865,0.000
2022-01-28,156.926,0.004
2022-02-07,156.946,0.000
2022-02-17,156.871,0.000
2022-02-27,156.850,0.000
2022-03-09,156.853,0.000
2022-03-19,156.826,0.000
2022-04-08,156.790,0.032
2022-04-18,156.786,0.005
2022-05-08,156.977,0.000
2022-05-17,157.025,0.000
2022-05-27,156.884,0.000
2022-06-06,156.901,0.001
2022-06-16,156.964,0.000
2022-06-26,157.059,0.000
2022-07-06,156.831,0.000
2022-07-16,156.797,0.000
2022-07-26,156.839,0.000
2022-08-05,156.883,0.000
2022-08-15,156.852,0.000
2022-08-25,156.757,0.001
2022-09-04,156.801,0.001
2022-09-13,156.830,0.001
2022-09-23,156.827,0.000
2022-10-03,156.784,0.000
2022-10-13,156.684,0.000